2. abandoned,abandoned
3. abdominal,abdominal
4. abhorrent,abhorrent
5. abiding,abiding
6. abject,abject
7. able 1,able
8. able-bodied,able-bodied
9. abnormal,abnormal
10. abounding,abounding
11. abrasive,abrasive
12. abrupt,abrupt
13. absent,absent
14. absentminded,absentminded
15. absolute,absolute
16. absorbed,absorbed
17. absorbing,absorbing
18. abstracted,abstracted
19. absurd,absurd
20. abundant,abundant
21. abusive,abusive
22. abysmal,abysmal
23. academic,academic
24. acceptable,acceptable
25. accepting,accepting
26. accessible,accessible
27. accidental,accidental
28. acclaimed,acclaimed
29. accommodating,accommodating
30. accompanying,accompanying
31. accountable,accountable
32. accurate,accurate
33. accusative,accusative
34. accused,accused
35. accusing,accusing
36. acerbic,acerbic
37. achievable,achievable
38. aching,aching
39. acid 3,acid
40. acidic,acidic
41. acknowledged,acknowledged
42. acoustic,acoustic
43. acrid,acrid
44. acrimonious,acrimonious
45. acrobatic,acrobatic
46. actionable,actionable
47. active,active
48. actual,actual
49. ad hoc,adhoc
50. adamant,adamant
51. adaptable,adaptable
52. adaptive,adaptive
53. addicted,addicted
54. addictive,addictive
55. additional,additional
56. adept,adept
57. adequate,adequate
58. adhesive,adhesive
59. adjacent,adjacent
60. adjoining,adjoining
61. adjustable,adjustable
62. administrative,administrative
63. admirable,admirable
64. admired,admired
65. admiring,admiring
66. adopted,adopted
67. adoptive,adoptive
68. adorable,adorable
69. adored,adored
70. adoring,adoring
71. adrenalized,adrenalized
72. adroit,adroit
73. adult,adult
74. advanced,advanced
75. advantageous,advantageous
76. adventurous,adventurous
77. adversarial,adversarial
78. advisable,advisable
79. aerial,aerial
80. affable,affable
81. affected,affected
82. affectionate,affectionate
83. affirmative,affirmative
84. affordable,affordable
85. afraid,afraid
86. afternoon,afternoon
87. ageless,ageless
88. aggravated,aggravated
89. aggravating,aggravating
90. aggressive,aggressive
91. agitated,agitated
92. agonizing,agonizing
93. agrarian,agrarian
94. agreeable,agreeable
95. aimless,aimless
96. airline 3,airline
97. airsick,airsick
98. ajar,ajar
99. alarmed,alarmed
100. alarming,alarming
101. alert,alert
102. algebraic,algebraic
103. alien,alien
104. alienated,alienated
105. alike,alike
106. alive,alive
107. all 2,all
108. all-around,all-around
109. alleged,alleged
110. allowable,allowable
111. all-purpose,all-purpose
112. all-too-common,all-too-common
113. alluring,alluring
114. allusive,allusive
115. alone,alone
116. aloof,aloof
117. alterable,alterable
118. alternating,alternating
119. alternative,alternative
120. amazed,amazed
121. amazing,amazing
122. ambiguous,ambiguous
123. ambitious,ambitious
124. ambulant,ambulant
125. ambulatory,ambulatory
126. amiable,amiable
127. amicable,amicable
128. amphibian,amphibian
129. amused,amused
130. amusing,amusing
131. an 2,an
132. ancient,ancient
133. anecdotal,anecdotal
134. anemic,anemic
135. angelic,angelic
136. angered,angered
137. angry 1,angry
138. angular,angular
139. animal 3,animal
140. animated,animated
141. annoyed,annoyed
142. annoying,annoying
143. annual,annual
144. anonymous,anonymous
145. another 2,another
146. antagonistic,antagonistic
147. anticipated,anticipated
148. anticlimactic,anticlimactic
149. anticorrosive,anticorrosive
150. antiquated,antiquated
151. antiseptic,antiseptic
152. antisocial,antisocial
153. antsy,antsy
154. anxious,anxious
155. any,any
156. apathetic,apathetic
157. apologetic,apologetic
158. apologizing,apologizing
159. appalling,appalling
160. appealing,appealing
161. appetizing,appetizing
162. applauding,applauding
163. applicable,applicable
164. applicative,applicative
165. appreciative,appreciative
166. apprehensive,apprehensive
167. approachable,approachable
168. approaching,approaching
169. appropriate,appropriate
170. approving,approving
171. approximate,approximate
172. aquatic,aquatic
173. architectural,architectural
174. ardent,ardent
175. arduous,arduous
176. arguable,arguable
177. argumentative,argumentative
178. arid,arid
179. aristocratic,aristocratic
180. aromatic,aromatic
181. arresting,arresting
182. arrogant,arrogant
183. artful,artful
184. artificial,artificial
185. artistic,artistic
186. artless,artless
187. ashamed,ashamed
188. aspiring,aspiring
189. assertive,assertive
190. assignable,assignable
191. assorted,assorted
192. assumable,assumable
193. assured,assured
194. assuring,assuring
195. astonished,astonished
196. astonishing,astonishing
197. astounded,astounded
198. astounding,astounding
199. astringent,astringent
200. astronomical,astronomical
201. astute,astute
202. asymmetrical,asymmetrical
203. athletic,athletic
204. atomic,atomic
205. atrocious,atrocious
206. attachable,attachable
207. attainable,attainable
208. attentive,attentive
209. attractive,attractive
210. attributable,attributable
211. atypical,atypical
212. audacious,audacious
213. auspicious,auspicious
214. authentic,authentic
215. authoritarian,authoritarian
216. authoritative,authoritative
217. autobiographic,autobiographic
218. autographed,autographed
219. automatic,automatic
220. autonomous,autonomous
221. available,available
222. avant-garde,avant-garde
223. avenging,avenging
224. average,average
225. avian,avian
226. avid,avid
227. avoidable,avoidable
228. awake,awake
229. awakening,awakening
230. aware,aware
231. away,away
232. awesome,awesome
233. awful,awful
234. awkward,awkward
235. axiomatic,axiomatic
236. babbling,babbling
237. baby 3,baby
238. background 3,background
239. backhanded,backhanded
240. bacterial,bacterial
241. bad 1,bad
242. bad-tempered,bad-tempered
243. baffled,baffled
244. baffling,baffling
245. bald 1,bald
246. balding,balding
247. balmy,balmy
248. bandaged,bandaged
249. banging,banging
250. bankable,bankable
251. banned,banned
252. bantering,bantering
253. barbaric,barbaric
254. barbarous,barbarous
255. barbequed,barbequed
256. barefooted,barefooted
257. barking,barking
258. barren,barren
259. bashful,bashful
260. basic,basic
261. battered,battered
262. batty 1,batty
